Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
kia,rio,2020.0,4.2,diesel,manual,289944.0,3.0,5.0,8501.0
chevrolet,malibu,2012.0,2.0,hybrid,automatic,5356.0,2.0,3.0,12092.0
mercedes,gla,2020.0,4.2,diesel,automatic,231440.0,4.0,2.0,11171.0
audi,q5,2023.0,2.0,electric,manual,160971.0,2.0,1.0,11780.0
volkswagen,golf,2003.0,2.6,hybrid,semi-automatic,286618.0,3.0,3.0,2867.0
toyota,camry,2007.0,2.7,petrol,automatic,157889.0,4.0,4.0,7242.0
honda,civic,2010.0,3.4,electric,automatic,139584.0,3.0,1.0,11208.0
kia,sportage,2001.0,4.7,electric,semi-automatic,157495.0,2.0,2.0,7950.0
kia,sportage,2014.0,2.6,hybrid,manual,98700.0,3.0,4.0,9926.0
toyota,rav4,2005.0,3.1,petrol,manual,107724.0,2.0,5.0,6545.0
bmw,5 series,2013.0,1.3,hybrid,automatic,296824.0,2.0,3.0,5863.0
volkswagen,golf,2009.0,4.5,hybrid,manual,42795.0,4.0,3.0,11444.0
honda,cr-v,2007.0,4.8,hybrid,automatic,132875.0,3.0,4.0,10842.0
hyundai,elantra,2004.0,2.3,hybrid,semi-automatic,188996.0,2.0,1.0,4820.0
volkswagen,golf,2003.0,2.4,petrol,automatic,145921.0,5.0,2.0,5981.0
volkswagen,golf,2007.0,3.2,diesel,automatic,60103.0,2.0,1.0,9697.0
hyundai,elantra,2017.0,2.9,electric,automatic,38133.0,5.0,2.0,14837.0
volkswagen,tiguan,2006.0,4.5,electric,manual,41161.0,2.0,2.0,11576.0
kia,rio,2000.0,3.4,diesel,semi-automatic,257427.0,3.0,3.0,2351.0
mercedes,gla,2021.0,1.5,petrol,manual,34640.0,2.0,1.0,11207.0
chevrolet,equinox,2018.0,1.8,hybrid,automatic,21261.0,2.0,1.0,13374.0
toyota,rav4,2000.0,4.6,hybrid,semi-automatic,41814.0,2.0,2.0,8863.0
toyota,rav4,2003.0,2.0,electric,manual,136662.0,5.0,4.0,6266.0
ford,explorer,2006.0,2.8,hybrid,manual,99921.0,4.0,2.0,7701.0
mercedes,gla,2016.0,3.9,petrol,semi-automatic,19868.0,3.0,4.0,12402.0
